Common_Name,Habitat_Type,Obs_Depth_m,Body_Length_cm,Body_Weight_kg,Sex,Water_Temp_C,Salinity_ppt,pH,Estimated_Age_yr
Yellowfin Tuna,Marine,487.7,169.9,201.791,Male,1.2,35.9,7.62,3.0
Yellowfin Tuna,Marine,755.5,199.9,214.096,Male,2.9,33.8,8.04,5.3
Albacore Tuna,Marine,444.7,146.8,60.431,Female,5.6,36.2,7.79,9.4
Blue Marlin,Marine,621.5,559.7,1038.955,Juvenile,2.9,33.7,8.32,10.4
Swordfish,Marine,202.0,405.6,525.181,Juvenile,2.4,34.0,7.83,2.5
Yellowfin Tuna,Marine,701.2,230.8,201.742,Female,4.3,36.2,8.07,4.0
Sailfish,Marine,194.6,295.9,107.492,Female,27.9,35.1,7.69,5.5
Yellowfin Tuna,Marine,706.6,243.6,129.474,Male,5.7,33.1,7.88,3.8
Wahoo,Marine,271.0,274.1,119.647,Male,4.9,35.9,7.73,5.4
Sailfish,Marine,28.9,364.4,47.987,Female,19.2,36.1,8.0,3.6
Wahoo,Marine,118.5,230.2,86.461,Male,28.9,36.2,8.18,6.0
Blue Marlin,Marine,387.2,475.9,581.951,Male,5.6,33.0,7.66,11.8
Swordfish,Marine,170.5,448.7,705.61,Female,24.2,34.2,7.76,4.7
Sailfish,Marine,174.6,302.9,68.635,Male,23.3,33.5,8.4,1.6
Wahoo,Marine,335.0,216.5,76.052,Female,5.8,35.4,8.39,5.5
Wahoo,Marine,42.0,236.3,62.176,Female,26.5,35.8,7.78,2.0
Albacore Tuna,Marine,306.0,183.4,48.076,Male,5.9,34.2,7.79,4.3
Mahi-Mahi,Marine,91.7,205.6,30.321,Female,20.2,36.2,8.01,1.7
Yellowfin Tuna,Marine,502.6,229.0,204.703,Female,3.0,33.6,7.79,3.6
Albacore Tuna,Marine,224.2,144.0,60.433,Female,2.0,33.2,7.8,5.2
Swordfish,Marine,566.0,473.4,620.463,Juvenile,4.2,35.0,7.7,8.6
Bluefin Tuna,Marine,285.6,327.5,715.778,Juvenile,2.0,36.2,8.19,14.5
Yellowfin Tuna,Marine,314.2,258.3,211.724,Male,2.7,35.3,8.36,4.3
Yellowfin Tuna,Marine,751.1,266.3,234.703,Male,2.5,33.3,7.92,2.7
Sailfish,Marine,187.0,328.9,88.461,Male,22.3,36.3,7.53,4.5
Albacore Tuna,Marine,88.3,90.6,48.977,Male,24.3,36.7,8.26,6.6
Blue Marlin,Marine,180.4,555.0,661.415,Male,27.5,33.5,7.66,8.8
Wahoo,Marine,214.1,256.4,100.534,Male,1.5,36.5,8.32,3.9
Mahi-Mahi,Marine,200.7,216.2,40.061,Male,4.7,33.8,8.34,2.8
Yellowfin Tuna,Marine,438.7,220.3,271.239,Female,3.4,33.6,7.63,3.0
Yellowfin Tuna,Marine,699.7,151.2,157.319,Male,1.3,33.3,8.0,3.7
Blue Marlin,Marine,1000.0,624.0,964.471,Juvenile,1.2,36.3,7.83,19.6
Wahoo,Marine,147.7,228.2,100.791,Male,22.0,33.5,7.71,6.8
Albacore Tuna,Marine,247.5,117.0,61.549,Female,2.4,33.4,7.82,7.6
Sailfish,Marine,235.5,280.9,81.438,Female,2.6,35.4,7.6,3.9
Blue Marlin,Marine,1000.0,512.3,802.971,Male,2.6,34.9,7.84,18.2
Blue Marlin,Marine,714.1,478.0,864.988,Juvenile,3.0,34.8,7.58,11.0
Albacore Tuna,Marine,214.6,133.9,64.062,Male,1.1,36.5,7.59,3.9
Sailfish,Marine,198.4,285.4,77.018,Male,27.9,36.7,7.87,5.1
Wahoo,Marine,96.5,310.7,88.717,Male,24.2,35.0,8.38,6.6
Bluefin Tuna,Marine,803.9,301.0,502.836,Male,4.8,34.0,7.52,18.0
Mahi-Mahi,Marine,174.1,180.3,46.574,Female,23.9,36.2,8.06,4.9
Swordfish,Marine,536.0,266.3,693.016,Male,1.7,36.1,7.69,6.5
Swordfish,Marine,514.1,433.7,648.255,Female,5.3,33.0,8.34,5.5
Yellowfin Tuna,Marine,721.4,267.8,149.401,Female,3.3,35.1,7.78,3.3
Mahi-Mahi,Marine,116.7,203.8,34.448,Juvenile,25.5,36.0,8.23,0.3
Wahoo,Marine,208.2,263.5,91.789,Female,4.4,35.3,7.64,2.0
Albacore Tuna,Marine,144.7,148.3,70.447,Female,24.7,35.5,8.16,6.2
Wahoo,Marine,88.2,294.5,66.461,Female,27.1,35.0,8.23,8.7
Sailfish,Marine,205.5,346.9,112.371,Male,3.1,35.4,8.12,8.1
Bluefin Tuna,Marine,571.8,515.7,553.496,Male,3.1,35.9,7.99,19.8
Swordfish,Marine,56.8,332.1,739.463,Male,26.0,35.6,7.8,4.1
Sailfish,Marine,211.0,373.1,58.466,Female,3.1,33.3,7.71,6.0
Swordfish,Marine,225.0,476.9,460.577,Male,2.4,36.5,8.04,3.4
Blue Marlin,Marine,271.5,679.6,721.44,Female,4.0,33.7,7.87,14.6
Mahi-Mahi,Marine,280.0,160.2,31.303,Female,6.0,33.8,7.78,1.7
Albacore Tuna,Marine,324.4,117.6,65.748,Juvenile,4.7,35.2,7.94,6.8
Sailfish,Marine,232.2,278.5,88.881,Male,3.5,36.0,8.07,5.1
Mahi-Mahi,Marine,114.6,214.5,41.629,Male,24.4,36.1,7.54,2.9
Bluefin Tuna,Marine,300.7,376.4,402.767,Male,2.4,33.6,7.86,21.8
Bluefin Tuna,Marine,941.6,428.1,609.083,Male,3.0,35.3,7.78,6.2
Sailfish,Marine,282.0,294.8,71.837,Female,2.4,33.7,7.85,4.8
Blue Marlin,Marine,694.9,607.0,953.958,Male,2.0,37.0,7.7,16.5
Yellowfin Tuna,Marine,0.0,239.7,159.899,Juvenile,20.1,34.9,8.31,1.0
Bluefin Tuna,Marine,345.4,220.8,515.879,Female,3.1,35.8,7.77,20.9
Swordfish,Marine,425.6,437.5,653.295,Female,2.0,35.7,8.11,5.2
Yellowfin Tuna,Marine,0.0,225.7,203.818,Male,18.6,34.0,7.6,3.8
Wahoo,Marine,335.0,222.4,89.387,Female,4.7,34.1,7.91,2.2
Sailfish,Marine,167.7,327.6,66.728,Male,25.3,36.6,8.19,7.3
Blue Marlin,Marine,222.0,526.1,798.671,Female,3.4,34.4,7.67,17.3
Mahi-Mahi,Marine,73.5,217.8,33.446,Male,24.6,34.6,8.35,2.2
Wahoo,Marine,119.5,268.2,88.267,Male,23.7,33.7,8.09,4.2
Swordfish,Marine,414.4,308.2,494.385,Female,3.3,35.2,8.05,8.2
Blue Marlin,Marine,723.3,474.3,711.554,Male,4.2,34.3,7.51,12.0
Mahi-Mahi,Marine,0.0,186.2,36.789,Male,19.4,35.3,7.73,3.6
Mahi-Mahi,Marine,193.9,216.9,52.613,Female,19.1,33.4,7.8,2.2
Bluefin Tuna,Marine,591.7,464.7,514.56,Female,4.1,33.5,8.31,16.2
Blue Marlin,Marine,761.9,498.5,623.167,Male,1.0,36.8,7.58,14.2
Wahoo,Marine,227.6,263.6,78.456,Female,1.1,34.9,7.72,4.4
Blue Marlin,Marine,543.1,474.5,788.537,Female,4.3,33.5,8.36,0.0
Swordfish,Marine,70.7,385.6,675.604,Juvenile,19.9,34.2,8.28,3.3
Wahoo,Marine,260.7,224.5,88.935,Juvenile,4.5,33.2,8.21,5.1
Blue Marlin,Marine,322.1,482.0,955.679,Male,2.7,35.8,8.04,9.2
Blue Marlin,Marine,185.2,471.1,788.285,Male,25.4,34.6,7.66,16.3
Sailfish,Marine,162.1,376.0,55.198,Juvenile,20.0,34.5,8.25,4.4
Swordfish,Marine,441.8,429.1,602.782,Juvenile,6.0,36.4,7.56,3.8
Albacore Tuna,Marine,119.8,106.6,71.741,Male,20.9,36.5,7.85,7.3
Blue Marlin,Marine,749.3,514.5,752.62,Male,6.0,34.9,7.78,15.6
Blue Marlin,Marine,492.9,370.5,716.95,Male,5.6,35.5,7.82,16.5
Blue Marlin,Marine,701.3,555.7,778.358,Male,3.4,36.9,7.94,22.1
Mahi-Mahi,Marine,79.6,223.3,33.608,Female,18.8,34.9,7.9,1.9
Albacore Tuna,Marine,600.0,153.9,62.533,Female,1.5,35.2,8.13,5.8
Sailfish,Marine,103.4,341.8,103.85,Female,22.8,35.5,7.82,6.0
Blue Marlin,Marine,966.7,471.2,850.54,Male,3.8,33.9,7.97,6.3
Swordfish,Marine,723.3,475.9,705.516,Juvenile,5.2,33.1,7.98,3.7
Sailfish,Marine,114.9,322.3,76.795,Juvenile,22.6,35.4,7.71,8.5
Yellowfin Tuna,Marine,609.2,166.0,204.041,Juvenile,2.4,33.3,8.05,1.2
Bluefin Tuna,Marine,520.5,355.8,786.359,Female,5.7,34.4,8.29,18.5
Bluefin Tuna,Marine,304.9,329.0,579.831,Juvenile,4.5,34.4,7.88,15.6
Mahi-Mahi,Marine,229.3,211.7,40.589,Juvenile,5.3,36.3,8.16,1.9
Swordfish,Marine,26.7,433.6,629.478,Female,22.6,35.8,7.93,5.3
Albacore Tuna,Marine,148.9,103.8,49.024,Male,19.9,34.0,7.99,4.1
Sailfish,Marine,184.1,280.4,97.194,Juvenile,18.0,35.3,7.58,7.3
Blue Marlin,Marine,270.2,532.8,1218.125,Female,3.3,33.8,7.85,17.3
Mahi-Mahi,Marine,50.6,207.5,46.29,Male,20.9,34.7,7.72,3.1
Wahoo,Marine,225.0,300.2,99.461,Male,2.2,36.3,8.28,0.8
Mahi-Mahi,Marine,126.0,196.4,45.551,Male,28.6,36.9,7.59,2.3
Albacore Tuna,Marine,130.4,109.2,51.473,Male,26.1,35.0,8.08,5.7
Sailfish,Marine,217.3,290.8,93.916,Male,2.9,36.8,8.13,2.0
Albacore Tuna,Marine,600.0,118.6,58.968,Female,5.8,35.7,8.24,8.7
Mahi-Mahi,Marine,115.3,201.5,57.239,Juvenile,26.5,36.2,7.81,3.1
Albacore Tuna,Marine,476.9,183.8,62.437,Male,3.5,34.5,7.9,3.4
Albacore Tuna,Marine,490.8,185.4,52.114,Juvenile,3.9,33.5,8.36,8.1
Bluefin Tuna,Marine,728.0,425.9,773.309,Male,1.5,34.9,8.06,16.5
Mahi-Mahi,Marine,93.9,223.5,38.467,Male,28.9,35.2,8.13,2.6
Sailfish,Marine,127.0,298.3,63.589,Juvenile,26.4,35.0,8.04,6.4
Yellowfin Tuna,Marine,653.3,230.0,177.481,Female,3.7,33.7,8.34,3.9
Mahi-Mahi,Marine,0.0,226.7,39.713,Female,21.8,36.5,7.77,1.0
Bluefin Tuna,Marine,529.4,345.1,486.187,Female,1.5,34.1,7.73,22.6
Swordfish,Marine,616.6,449.4,636.212,Female,4.6,37.0,8.34,4.3
Blue Marlin,Marine,492.2,534.6,627.797,Female,1.5,35.3,8.13,14.4
Yellowfin Tuna,Marine,495.6,199.3,172.024,Male,3.6,33.2,7.73,4.1
Blue Marlin,Marine,34.7,492.4,1046.132,Female,27.9,34.9,8.1,22.3
Mahi-Mahi,Marine,190.6,235.2,37.942,Juvenile,20.5,33.0,7.62,0.7
Sailfish,Marine,120.1,257.3,85.873,Male,23.7,35.2,7.99,5.3
Blue Marlin,Marine,798.8,534.7,744.831,Male,5.1,34.9,7.52,7.5
Blue Marlin,Marine,509.9,505.8,654.136,Female,3.9,35.2,8.33,24.2
Yellowfin Tuna,Marine,656.9,135.4,195.808,Juvenile,4.2,34.5,7.86,3.6
Sailfish,Marine,104.7,392.2,100.132,Female,22.4,34.9,7.86,3.8
Bluefin Tuna,Marine,476.1,361.0,571.651,Male,4.7,34.8,8.26,14.8
Blue Marlin,Marine,343.9,572.4,752.82,Juvenile,2.5,36.9,7.91,12.1
Swordfish,Marine,685.0,348.9,561.11,Female,5.8,36.2,7.56,3.0
Wahoo,Marine,335.0,246.0,118.803,Juvenile,5.9,35.5,7.52,4.3
Swordfish,Marine,168.7,496.9,602.948,Female,21.4,36.7,7.74,6.8
Bluefin Tuna,Marine,10.8,362.0,454.81,Female,22.8,36.7,7.54,18.0
Albacore Tuna,Marine,96.6,152.2,68.556,Juvenile,19.8,34.7,7.8,7.2
Bluefin Tuna,Marine,529.4,391.8,454.867,Female,5.6,36.7,8.18,22.6
Yellowfin Tuna,Marine,357.1,241.1,171.372,Male,5.9,33.5,7.69,3.7
Bluefin Tuna,Marine,633.0,292.3,744.644,Male,5.9,36.8,8.24,13.5
Swordfish,Marine,330.1,295.7,448.039,Juvenile,5.1,35.4,8.27,6.9
Bluefin Tuna,Marine,771.7,360.5,525.564,Male,3.8,35.7,8.38,22.5
Blue Marlin,Marine,914.9,609.4,886.409,Male,1.1,36.3,7.63,12.5
Swordfish,Marine,275.7,347.7,652.876,Female,3.4,34.4,7.61,1.4
Sailfish,Marine,109.8,365.4,66.367,Juvenile,18.6,34.7,7.93,5.7
Bluefin Tuna,Marine,243.0,330.0,440.531,Male,4.4,34.9,8.16,22.1
Wahoo,Marine,258.6,268.4,63.282,Female,3.8,36.2,8.24,7.8
Sailfish,Marine,148.3,364.8,124.335,Juvenile,18.5,34.0,7.78,6.9
Mahi-Mahi,Marine,194.6,239.9,47.612,Juvenile,21.9,33.2,8.25,2.8
Wahoo,Marine,205.2,305.9,52.947,Male,1.5,35.4,8.33,5.4
Sailfish,Marine,185.1,268.2,83.526,Female,21.4,33.1,8.29,6.2
Bluefin Tuna,Marine,794.9,427.4,712.777,Female,2.7,34.8,7.75,29.9
Albacore Tuna,Marine,357.2,133.4,74.399,Female,3.1,33.1,7.73,11.4
Sailfish,Marine,255.1,341.6,95.862,Juvenile,2.3,33.9,8.14,7.4
Blue Marlin,Marine,1000.0,450.0,871.662,Female,3.6,36.8,7.6,22.2
Sailfish,Marine,107.1,304.6,89.86,Male,27.0,35.6,7.76,4.9
Yellowfin Tuna,Marine,427.4,206.2,189.218,Male,3.1,35.7,8.09,3.3
Albacore Tuna,Marine,206.8,131.0,61.122,Female,4.1,33.6,8.33,6.6
Bluefin Tuna,Marine,710.1,429.5,658.006,Juvenile,5.0,36.3,8.39,17.9
Blue Marlin,Marine,359.8,451.5,717.888,Male,3.0,33.0,7.63,17.3
Swordfish,Marine,440.5,422.0,767.185,Female,4.1,35.4,7.76,2.2
Mahi-Mahi,Marine,93.8,206.2,34.727,Juvenile,27.7,33.5,7.97,0.7
Albacore Tuna,Marine,0.0,167.9,47.294,Juvenile,24.9,36.1,7.81,5.7
Yellowfin Tuna,Marine,790.4,230.6,166.014,Male,4.4,35.3,8.21,2.2
Yellowfin Tuna,Marine,230.2,210.0,185.747,Female,2.2,35.9,8.01,4.4
Yellowfin Tuna,Marine,511.5,192.2,204.542,Juvenile,3.2,36.5,8.37,3.7
Swordfish,Marine,409.2,534.5,611.401,Male,4.3,34.9,7.94,0.6
Sailfish,Marine,188.5,286.4,105.439,Male,28.3,34.1,8.39,5.2
Albacore Tuna,Marine,349.9,113.9,54.677,Juvenile,1.1,36.2,7.56,4.0
Blue Marlin,Marine,755.4,550.8,864.654,Juvenile,1.8,33.1,7.57,10.0
Blue Marlin,Marine,201.7,556.9,805.799,Male,5.1,33.9,8.25,12.0
Albacore Tuna,Marine,318.6,149.7,55.154,Juvenile,2.1,34.3,7.9,4.1
Wahoo,Marine,108.2,262.9,61.958,Male,18.0,36.6,8.3,1.5
Yellowfin Tuna,Marine,558.2,231.0,166.753,Juvenile,4.2,34.2,7.84,4.7
Yellowfin Tuna,Marine,330.5,184.4,246.609,Female,4.5,36.2,8.01,2.8
Bluefin Tuna,Marine,539.6,343.9,781.813,Juvenile,1.6,34.8,8.13,23.0
Sailfish,Marine,128.4,295.7,113.118,Female,20.8,36.6,7.6,8.4
Yellowfin Tuna,Marine,0.0,153.8,198.599,Female,22.4,34.5,7.61,3.7
Sailfish,Marine,96.5,320.7,86.226,Female,23.0,36.7,7.55,4.2
Blue Marlin,Marine,342.4,432.2,976.708,Female,1.7,33.9,8.4,10.4
Albacore Tuna,Marine,323.1,122.3,49.376,Juvenile,2.9,33.7,7.74,6.4
Mahi-Mahi,Marine,95.3,174.7,35.881,Female,19.7,34.1,7.72,2.1
Bluefin Tuna,Marine,881.4,428.4,597.328,Juvenile,2.9,33.6,8.38,19.0
Albacore Tuna,Marine,79.0,182.7,49.359,Juvenile,23.2,35.5,8.32,0.7
Swordfish,Marine,288.3,419.5,464.196,Female,5.9,34.2,7.83,6.6
Blue Marlin,Marine,33.8,565.9,976.498,Juvenile,29.2,34.0,8.1,20.7
Bluefin Tuna,Marine,709.1,310.6,554.692,Juvenile,5.4,36.8,7.82,12.0
Wahoo,Marine,204.9,252.1,87.3,Male,5.1,36.1,7.87,6.1
Bluefin Tuna,Marine,889.7,408.5,597.277,Female,3.6,34.3,8.19,28.0
Sailfish,Marine,220.0,360.0,88.383,Male,6.0,33.4,7.81,2.9
Blue Marlin,Marine,727.7,567.5,758.516,Male,5.3,34.1,8.28,9.0
Blue Marlin,Marine,534.6,667.6,913.203,Juvenile,1.2,36.5,7.88,13.4
Mahi-Mahi,Marine,147.6,235.8,40.85,Female,22.0,33.6,7.72,1.6
Wahoo,Marine,112.9,251.6,60.953,Juvenile,29.3,35.1,7.69,5.0
Sailfish,Marine,153.9,341.5,88.659,Male,27.4,36.6,8.01,5.9
Mahi-Mahi,Marine,45.9,279.1,42.633,Juvenile,18.1,36.3,8.39,1.9
Swordfish,Marine,326.7,432.2,586.923,Male,4.0,35.3,7.87,6.5
Sailfish,Marine,204.5,383.3,98.132,Juvenile,4.1,33.2,7.59,8.7
Wahoo,Marine,130.7,219.3,95.753,Female,20.0,36.5,8.32,4.8
Bluefin Tuna,Marine,658.6,441.4,550.637,Juvenile,2.6,34.9,7.97,14.3
Mahi-Mahi,Marine,89.0,153.9,39.03,Female,28.6,35.9,8.28,1.9
Swordfish,Marine,520.6,410.9,676.991,Juvenile,4.9,35.5,7.52,5.1
Albacore Tuna,Marine,274.3,134.7,46.943,Juvenile,2.8,34.9,8.0,7.9
Blue Marlin,Marine,560.2,449.0,556.511,Male,1.3,36.1,7.59,16.8
Swordfish,Marine,236.2,447.7,468.249,Juvenile,1.2,34.5,7.96,6.7
Mahi-Mahi,Marine,170.6,213.7,41.879,Juvenile,27.9,36.0,7.96,0.4
Blue Marlin,Marine,573.9,447.2,696.3,Juvenile,1.2,36.0,7.67,15.9
Blue Marlin,Marine,676.8,484.2,975.621,Male,4.2,33.2,8.24,12.4
Blue Marlin,Marine,338.9,551.1,997.67,Female,3.2,34.4,7.75,19.9
Yellowfin Tuna,Marine,834.8,188.6,208.572,Male,1.7,37.0,7.94,3.1
Mahi-Mahi,Marine,267.4,180.7,27.135,Male,3.4,36.4,8.15,4.2
Bluefin Tuna,Marine,790.5,383.2,601.757,Female,4.5,34.2,7.76,20.1
Yellowfin Tuna,Marine,799.3,211.2,207.676,Male,4.0,33.7,7.6,3.5
Yellowfin Tuna,Marine,953.0,201.3,167.563,Male,3.8,36.4,7.58,3.6
Swordfish,Marine,593.2,302.9,540.144,Male,5.6,35.8,8.35,4.9
Sailfish,Marine,216.9,319.0,111.25,Juvenile,1.1,36.3,8.26,6.0
Albacore Tuna,Marine,164.5,137.8,61.253,Juvenile,22.9,34.7,8.4,7.0
Wahoo,Marine,194.2,206.2,84.106,Female,29.9,35.0,7.89,1.8
Yellowfin Tuna,Marine,529.3,206.5,199.938,Male,5.3,33.5,7.6,3.4
Blue Marlin,Marine,507.7,420.3,985.449,Male,1.7,34.3,8.37,17.0
Blue Marlin,Marine,499.5,538.8,737.779,Male,1.4,36.5,8.2,13.7
Swordfish,Marine,180.3,501.8,507.341,Male,22.7,35.0,7.98,3.7
Albacore Tuna,Marine,465.4,144.8,52.108,Juvenile,4.3,35.4,7.7,9.5
Yellowfin Tuna,Marine,462.0,206.2,250.003,Juvenile,3.8,36.3,7.52,3.2
Blue Marlin,Marine,194.5,456.7,866.315,Female,23.8,34.7,7.82,16.9
Sailfish,Marine,188.1,394.2,80.376,Juvenile,24.6,36.9,7.72,4.4
Mahi-Mahi,Marine,59.2,224.8,36.047,Female,26.8,36.9,8.0,2.9
Wahoo,Marine,60.2,265.4,87.285,Male,29.3,33.1,8.02,3.6
Wahoo,Marine,25.5,270.8,81.994,Male,26.2,34.8,7.69,7.1
Mahi-Mahi,Marine,87.2,202.6,43.716,Female,29.1,35.8,8.28,3.6
Bluefin Tuna,Marine,575.3,369.1,448.178,Juvenile,5.9,36.1,7.77,9.9
Wahoo,Marine,144.3,260.6,59.373,Juvenile,22.1,34.2,8.19,4.0
Swordfish,Marine,568.6,417.6,606.543,Juvenile,2.5,36.0,7.51,4.2
Yellowfin Tuna,Marine,408.7,234.6,165.354,Juvenile,4.2,33.7,7.73,2.7
Albacore Tuna,Marine,191.9,128.4,53.272,Juvenile,20.4,35.5,8.21,6.3
Albacore Tuna,Marine,594.4,167.3,72.347,Female,4.0,34.0,8.12,4.7
Swordfish,Marine,463.9,345.8,604.927,Female,2.6,35.2,7.73,3.8
Swordfish,Marine,356.6,413.0,558.602,Juvenile,3.6,35.1,7.94,5.3
Albacore Tuna,Marine,289.2,109.3,44.536,Juvenile,2.8,35.1,8.38,6.0
Wahoo,Marine,223.9,275.1,88.489,Female,5.7,34.7,7.94,6.1
Albacore Tuna,Marine,454.6,132.0,63.378,Juvenile,6.0,34.5,7.72,7.7
Swordfish,Marine,365.7,393.0,600.174,Female,3.3,35.4,7.58,2.9
Mahi-Mahi,Marine,94.3,235.7,37.322,Female,25.9,33.6,7.9,2.1
Wahoo,Marine,87.5,208.1,83.992,Juvenile,25.3,33.3,7.65,5.6
Yellowfin Tuna,Marine,505.0,234.5,161.433,Male,4.8,34.3,7.53,4.3
Sailfish,Marine,17.1,281.9,88.254,Female,25.4,36.4,7.58,5.3
Sailfish,Marine,238.0,329.3,66.427,Juvenile,4.2,34.9,7.96,9.4
Yellowfin Tuna,Marine,248.2,198.2,180.772,Male,3.5,34.5,7.59,4.0
Bluefin Tuna,Marine,192.3,422.9,482.719,Male,27.6,35.1,8.05,17.9
Albacore Tuna,Marine,237.5,149.2,87.92,Male,3.8,36.2,7.99,3.2
Albacore Tuna,Marine,395.4,126.6,60.304,Female,1.6,35.7,8.01,4.7
Mahi-Mahi,Marine,63.9,205.5,49.59,Female,26.3,34.9,8.19,3.8
Bluefin Tuna,Marine,20.0,383.7,482.51,Juvenile,21.8,34.9,8.21,23.5
Sailfish,Marine,70.9,274.9,80.835,Male,28.7,35.5,8.19,7.9
Sailfish,Marine,160.7,333.7,91.237,Male,22.3,33.7,7.68,3.4
Mahi-Mahi,Marine,197.4,205.0,46.242,Male,29.6,35.8,8.19,2.3
Blue Marlin,Marine,588.9,427.9,684.505,Juvenile,1.8,34.2,8.02,15.6
Swordfish,Marine,460.4,449.5,434.79,Male,2.6,36.9,8.34,3.1
Bluefin Tuna,Marine,307.7,367.2,443.205,Female,4.1,36.0,7.6,16.4
Mahi-Mahi,Marine,126.0,245.2,42.106,Male,26.6,34.7,8.35,4.3
Wahoo,Marine,335.0,240.4,56.671,Male,1.8,33.3,7.51,4.6
Wahoo,Marine,0.0,252.9,113.022,Juvenile,18.7,36.4,7.68,3.6
Bluefin Tuna,Marine,31.9,371.0,631.91,Male,20.6,35.8,8.19,18.4
Wahoo,Marine,98.4,264.1,86.707,Juvenile,23.8,33.2,8.2,5.1
Blue Marlin,Marine,952.7,438.6,671.99,Juvenile,3.3,33.8,7.93,15.5
Wahoo,Marine,146.8,272.7,76.202,Male,25.3,33.7,7.91,5.5
Swordfish,Marine,123.8,360.5,469.529,Male,18.4,33.2,7.51,3.9
Swordfish,Marine,386.5,357.9,717.423,Female,3.1,34.2,8.36,2.5
Wahoo,Marine,274.1,248.4,71.283,Female,2.9,35.9,8.28,6.5
Sailfish,Marine,146.0,304.7,74.218,Male,19.9,35.5,8.39,5.9
Sailfish,Marine,98.1,324.2,98.846,Female,29.9,35.7,7.6,6.1
Bluefin Tuna,Marine,556.9,307.4,558.141,Male,1.8,33.7,7.74,15.6
Blue Marlin,Marine,476.0,511.2,932.72,Juvenile,5.9,33.8,7.53,18.2
Yellowfin Tuna,Marine,370.4,247.2,188.634,Female,4.1,35.3,8.32,3.6
Swordfish,Marine,235.9,380.6,818.439,Female,1.2,36.1,7.64,6.6
Sailfish,Marine,187.2,390.5,59.047,Female,27.6,33.9,7.54,3.0
Albacore Tuna,Marine,312.8,170.0,48.155,Female,2.1,35.9,7.88,1.9
Blue Marlin,Marine,732.1,548.7,560.72,Female,4.4,34.7,7.83,18.1
Swordfish,Marine,153.6,477.2,615.393,Juvenile,20.4,36.0,8.17,5.5
Wahoo,Marine,205.0,239.8,77.976,Male,2.0,36.9,7.71,2.8
Bluefin Tuna,Marine,922.3,407.7,610.589,Female,3.2,36.9,7.56,25.3
Bluefin Tuna,Marine,746.3,288.8,492.569,Male,2.2,35.2,7.69,17.4
Wahoo,Marine,112.6,249.4,55.109,Juvenile,21.9,35.2,7.53,4.8
Mahi-Mahi,Marine,88.0,225.1,51.919,Male,25.2,35.3,7.59,2.0
Blue Marlin,Marine,351.6,407.9,909.695,Female,3.9,33.7,8.12,11.7
Yellowfin Tuna,Marine,409.6,212.6,201.004,Female,5.7,35.9,7.76,3.0
